t`s`float	v(n_iin)`V`float	v(n_vout)`V`float
0	-1.18013	-0.12629
2.5e-09	-1.18015	-0.126401
5e-09	-1.18017	-0.126624
1.3e-08	-1.18026	-0.127739
3.86e-08	-1.18052	-0.132098
1.02982e-07	-1.18113	-0.141622
1.5e-07	-1.18147	-0.147292
2e-07	-1.18171	-0.151065
2.5e-07	-1.18179	-0.152679
3e-07	-1.18171	-0.151425
3.5e-07	-1.18148	-0.148015
4.25e-07	-1.18089	-0.138696
5e-07	-1.18014	-0.126977
5.75e-07	-1.17938	-0.114903
6.5e-07	-1.17879	-0.105301
7e-07	-1.17855	-0.10149
7.5e-07	-1.17846	-0.0998649
8e-07	-1.17854	-0.101123
8.5e-07	-1.17877	-0.104538
9.25e-07	-1.17937	-0.113873
1e-06	-1.18012	-0.125602
1.075e-06	-1.18088	-0.137673
1.15e-06	-1.18147	-0.14726
1.2e-06	-1.18171	-0.151063
1.25e-06	-1.18179	-0.152681
1.3e-06	-1.18171	-0.151425
1.35e-06	-1.18148	-0.148015
1.425e-06	-1.18089	-0.138696
1.5e-06	-1.18014	-0.126977
1.575e-06	-1.17938	-0.114903
1.65e-06	-1.17879	-0.105301
1.7e-06	-1.17855	-0.10149
1.75e-06	-1.17846	-0.0998649
1.8e-06	-1.17854	-0.101123
1.85e-06	-1.17877	-0.104538
1.925e-06	-1.17937	-0.113873
2e-06	-1.18012	-0.125602
2.075e-06	-1.18088	-0.137673
2.15e-06	-1.18147	-0.14726
2.2e-06	-1.18171	-0.151063
2.25e-06	-1.18179	-0.152681
2.3e-06	-1.18171	-0.151425
2.35e-06	-1.18148	-0.148015
2.425e-06	-1.18089	-0.138696
2.5e-06	-1.18014	-0.126977
2.575e-06	-1.17938	-0.114903
2.65e-06	-1.17879	-0.105301
2.7e-06	-1.17855	-0.10149
2.75e-06	-1.17846	-0.0998649
2.8e-06	-1.17854	-0.101123
2.85e-06	-1.17877	-0.104538
2.925e-06	-1.17937	-0.113873
3e-06	-1.18012	-0.125602
3.075e-06	-1.18088	-0.137673
3.15e-06	-1.18147	-0.14726
3.2e-06	-1.18171	-0.151063
3.25e-06	-1.18179	-0.152681
3.3e-06	-1.18171	-0.151425
3.35e-06	-1.18148	-0.148015
3.425e-06	-1.18089	-0.138696
3.5e-06	-1.18014	-0.126977
3.575e-06	-1.17938	-0.114903
3.65e-06	-1.17879	-0.105301
3.7e-06	-1.17855	-0.10149
3.75e-06	-1.17846	-0.0998649
3.8e-06	-1.17854	-0.101123
3.85e-06	-1.17877	-0.104538
3.925e-06	-1.17937	-0.113873
4e-06	-1.18012	-0.125602
